id,user_name,type_action,type_search,mode_vector,len_vector,mean_time,std_time,mean_compare,std_compare
42,aline,search,BinarySearch,Arranjos Quase Ordenados,100000,9.986507234999898e-05,0.006860470194229964,30.37892,2.9741600646032653
43,aline,search,BinarySearch,Arranjos Ordenados (ASC),100000,0.00014636598045000048,0.008432919264896128,30.37892,2.9741600646032653
44,aline,remove,BinarySearch,Arranjos Quase Ordenados,10000,0.006661895078800094,0.05970742868751891,21.2058,3.27009414414496
45,aline,insert,BinarySearch,Arranjos Desordenados,10000,0.008657893498299991,0.07512612100918231,2510.9367,2217.2204365690714
46,aline,search,BinarySearch,Arranjos Desordenados,10000,1.5251951499993765e-05,0.00019657141614233163,23.7262,2.9754191086109514
47,aline,insert,BinarySearch,Arranjos Ordenados (ASC),1000000,1.7060433983999917e-05,0.002989073508918459,1.0,0.0
48,aline,remove,BinarySearch,Arranjos Ordenados (ASC),10000,0.008877997598899932,0.07801411362454547,21.7312,2.959834897804644
49,aline,insert,BinarySearch,Arranjos Quase Ordenados,1000000,3.089331267099643e-05,0.00622827788144039,2.799991,999.9942800046208
50,aline,remove,BinarySearch,Arranjos Desordenados,10000,0.005525920765400087,0.06009563127636418,20.7936,4.067413603918654
51,aline,insert,BinarySearch,Arranjos Ordenados (DESC),10000,0.01598173420110008,0.09960040323422382,5000.5,2886.8956799071675
52,aline,search,BinarySearch,Arranjos Ordenados (DESC),10000,0.00011447547510001641,0.010044202990388143,23.7262,2.9754191086109514
53,aline,remove,BinarySearch,Arranjos Ordenados (DESC),10000,0.00012034042709985897,0.010431557627747652,21.7288,2.966905932631048
54,aline,search,BinarySearch,Arranjos Ordenados (ASC),1000000,7.07569280119831e-05,0.005053694210165571,36.90289,2.860642905218656
55,aline,search,BinarySearch,Arranjos Quase Ordenados,1000000,9.401082105599013e-05,0.00688102274170616,36.90289,2.860642905218656
56,aline,insert,BinarySearch,Arranjos Desordenados,100000,0.06425089405418981,0.1839985756723428,25056.57367,22082.64647707215
57,aline,search,BinarySearch,Arranjos Desordenados,100000,9.420071434871715e-05,0.006261506981751825,30.37892,2.9741600646032653
58,aline,remove,BinarySearch,Arranjos Quase Ordenados,100000,0.06472851645165927,0.17436970391543868,27.67212,3.1374182283417995
59,aline,remove,BinarySearch,Arranjos Ordenados (ASC),100000,0.06521129012108046,0.17514556889133667,28.37954,2.9714706266050905
60,aline,remove,BinarySearch,Arranjos Desordenados,100000,0.02630482826697187,0.10115888244738074,27.46202,4.1124039974528745
61,aline,insert,BinarySearch,Arranjos Ordenados (DESC),100000,0.0993297303151676,0.20952975204931745,50000.5,28867.65779668774
62,aline,search,BinarySearch,Arranjos Ordenados (DESC),100000,2.2792752833429403e-05,0.0010420885987592744,30.37892,2.9741600646032653
63,aline,remove,BinarySearch,Arranjos Ordenados (DESC),100000,4.7863935883196975e-05,0.0037588478123903764,28.37924,2.972720200936161
0,aline,insert,LinearSearch,Arranjos Ordenados (ASC),10,6.102299999977134e-06,1.2593716881883022e-05,0.0,0.0
1,aline,search,LinearSearch,Arranjos Ordenados (ASC),10,2.087100000003339e-06,2.4583510033325653e-06,5.5,3.0276503540974917
2,aline,remove,LinearSearch,Arranjos Ordenados (ASC),10,5.0316000000272256e-06,4.907254837904203e-06,1.0,0.0
3,aline,insert,LinearSearch,Arranjos Ordenados (ASC),100,3.84657999999094e-06,1.5112061301864008e-05,0.0,0.0
4,aline,insert,LinearSearch,Arranjos Quase Ordenados,100,1.165870000003899e-06,1.8842612391179585e-06,0.0,0.0
5,aline,insert,LinearSearch,Arranjos Ordenados (DESC),1000,1.2708749999994496e-06,2.5205143590143885e-06,0.0,0.0
6,aline,search,LinearSearch,Arranjos Ordenados (ASC),100,2.755600000003966e-06,1.5993098637892115e-06,50.5,29.011491975882016
7,aline,insert,LinearSearch,Arranjos Desordenados,100,1.0637400000002017e-06,1.6891856541432776e-06,0.0,0.0
8,aline,insert,LinearSearch,Arranjos Desordenados,1000,1.1456900000015313e-06,4.16378048170447e-06,0.0,0.0
9,aline,insert,LinearSearch,Arranjos Desordenados,10,5.514999999989279e-06,1.2598265180413676e-05,0.0,0.0
10,aline,insert,LinearSearch,Arranjos Quase Ordenados,10,1.6623000000048905e-06,1.8006274863356264e-06,0.0,0.0
11,aline,search,LinearSearch,Arranjos Desordenados,100,4.648050000000126e-06,1.728840817801516e-06,50.5,29.011491975882016
12,aline,search,LinearSearch,Arranjos Quase Ordenados,100,2.997840000023011e-06,2.232226707805614e-06,50.5,29.011491975882016
13,aline,insert,LinearSearch,Arranjos Desordenados,10000,1.1377294000027404e-06,1.0748660313932357e-05,0.0,0.0
14,aline,insert,LinearSearch,Arranjos Ordenados (DESC),100,2.264739999997545e-06,7.262985924398908e-06,0.0,0.0
15,aline,search,LinearSearch,Arranjos Quase Ordenados,10,3.466100000082406e-06,5.5802213106778686e-06,5.5,3.0276503540974917
16,aline,insert,LinearSearch,Arranjos Ordenados (DESC),10000,6.308046599998418e-06,0.0003883506803525936,0.0,0.0
17,aline,insert,LinearSearch,Arranjos Quase Ordenados,10000,1.5585615999974323e-06,5.320017274353693e-05,0.0,0.0
18,aline,insert,LinearSearch,Arranjos Ordenados (DESC),10,9.09390000005672e-06,2.5637111288209237e-05,0.0,0.0
19,aline,search,LinearSearch,Arranjos Desordenados,1000,0.0006307900729999822,0.0134087370322884,500.5,288.8194360957494
